order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
63,387,5,Headphones,Chicago,2021-10-25,1,61.5
40,609,9,Mouse,Dallas,2022-12-06,10,49.47
100,349,2,Monitor,Los Angeles,2023-11-05,3,73.87
31,761,10,Scanner,Los Angeles,2024-12-20,8,38.7274524724172
61,226,8,Keyboard,Houston,2022-02-28,6,74.15
44,300,3,Mouse,Houston,2024-10-11,6,26.34
60,201,8,Headphones,San Diego,2024-09-02,3,22.4
8,731,10,Laptop,Philadelphia,2021-03-13,6,47.6
54,117,8,Webcam,Phoenix,2024-08-13,2,12.98
7,765,6,Headphones,Los Angeles,2023-07-08,2,39.61
28,870,8,Scanner,New York,2021-10-03,3,32.75
8,317,6,Monitor,New York,2023-04-23,9,63.7
75,216,5,Laptop,Los Angeles,2022-12-16,4,17.68
52,507,6,Webcam,San Jose,2026-01-06,9,49.79
91,759,10,Smartphone,Houston,2021-06-30,6,23.96
19,874,9,Mouse,Dallas,2021-09-21,6,71.26
20,854,7,Mouse,Houston,2021-09-09,3,45.33
36,563,5,Mouse,Houston,2023-10-16,5,34.3
71,866,9,Printer,San Jose,2023-02-10,1,42.86
24,663,6,Tablet,Dallas,2021-08-11,3,21.73
73,772,6,Smartphone,Houston,2023-09-19,5,74.34
77,878,7,Keyboard,Houston,2026-01-03,4,64.62
92,572,2,Keyboard,New York,2022-01-01,8,73.3
28,340,6,Smartphone,Philadelphia,2024-04-23,9,52.34
93,790,5,Monitor,San Jose,2024-03-14,3,23.71
62,473,3,Webcam,Chicago,2024-02-08,9,59.42
18,996,8,Tablet,San Diego,2022-04-17,5,33.65
16,70,8,Webcam,Dallas,2024-02-18,9,12.17
71,592,4,Headphones,San Diego,2022-02-23,8,12.65
71,419,6,Mouse,Chicago,2021-03-11,5,28.2
36,145,6,Smartphone,Chicago,2025-11-19,2,34.85
68,678,2,Headphones,Philadelphia,2021-03-23,3,72.17
64,794,1,Mouse,San Diego,2021-06-25,7,54.91
86,201,10,Webcam,San Diego,2024-05-02,5,25.49
96,780,6,Laptop,Chicago,2024-08-24,1,72.95
59,810,8,Smartphone,Philadelphia,2025-08-13,6,24.18
91,227,3,Monitor,Philadelphia,2022-04-04,5,10.7
100,837,2,Mouse,Chicago,2022-03-15,9,61.85
98,789,8,Tablet,Houston,2023-02-09,9,35.31
52,568,4,Smartphone,Philadelphia,2022-03-10,3,47.43
66,693,2,Keyboard,Dallas,2021-03-07,10,25.3
1,112,1,Laptop,Chicago,2024-10-17,4,66.22
85,636,5,Webcam,Philadelphia,2024-07-28,8,68.19
58,281,8,Scanner,Houston,2024-05-19,5,54.82
45,450,2,Scanner,San Diego,2025-11-09,7,59.48
73,980,10,Laptop,Houston,2023-06-05,1,40.97
80,672,7,Mouse,Phoenix,2022-08-21,8,46.52
8,773,4,Smartphone,Philadelphia,2024-10-19,2,61.94
16,136,7,Headphones,Phoenix,2021-07-11,10,56.66
77,996,4,Keyboard,New York,2023-05-24,3,69.53
26,737,1,Webcam,Dallas,2024-09-06,4,52.71
63,434,7,Keyboard,Phoenix,2023-07-22,1,60.2
91,131,9,Monitor,Dallas,2024-06-29,2,15.62
15,170,9,Keyboard,San Jose,2024-05-26,7,19.84
79,550,9,Webcam,Philadelphia,2021-10-28,9,40.22
92,644,2,Webcam,Chicago,2021-09-18,3,13.59
4,138,7,Mouse,San Diego,2023-02-06,9,36.9
21,141,8,Keyboard,San Antonio,2025-03-11,10,12.92
39,744,5,Printer,Houston,2023-12-10,8,70.25
54,56,2,Mouse,San Jose,2021-04-02,3,45.45
64,325,1,Laptop,Houston,2023-12-17,5,18.5
88,111,6,Keyboard,Houston,2022-12-04,9,47.66
41,779,5,Headphones,San Jose,2024-04-18,7,39.81
23,131,7,Printer,Chicago,2021-12-29,7,64.44
78,396,5,Scanner,Philadelphia,2021-12-01,1,61.41
57,801,10,Printer,San Antonio,2023-06-24,5,55.66
20,797,5,Webcam,San Jose,2021-04-16,4,45.54
58,355,1,Mouse,New York,2024-04-10,1,38.92
19,436,7,Keyboard,San Diego,2024-12-07,9,25.73
1,856,1,Scanner,Philadelphia,2022-11-07,8,74.2
60,270,10,Monitor,Chicago,2022-06-28,5,53.82
38,812,8,Printer,Phoenix,2024-09-18,6,51.43
40,263,8,Headphones,San Diego,2025-08-02,6,32.42
36,733,9,Smartphone,San Antonio,2021-12-27,3,68.6
24,704,1,Smartphone,San Jose,2024-02-01,3,45.35
96,346,9,Smartphone,Los Angeles,2024-08-03,5,69.24
3,716,6,Monitor,Philadelphia,2023-04-15,7,38.58
92,794,9,Monitor,New York,2022-03-09,4,11.84
3,199,8,Scanner,San Diego,2025-05-29,3,54.44
41,823,6,Smartphone,Dallas,2024-05-10,10,54.35
80,863,3,Laptop,Chicago,2024-04-21,9,42.4
34,605,2,Smartphone,San Diego,2025-08-21,6,73.99
84,904,8,Tablet,San Antonio,2025-10-17,8,45.98
75,800,3,Scanner,Chicago,2022-10-14,3,22.45
31,135,10,Printer,Phoenix,2025-04-04,8,43.68
79,701,9,Mouse,Houston,2023-09-06,4,41.15
2,762,4,Webcam,Chicago,2022-08-02,6,25.67
84,355,8,Scanner,Chicago,2021-10-05,5,62.98
4,355,8,Headphones,Los Angeles,2022-03-07,5,37.88
37,319,3,Tablet,Dallas,2025-03-06,3,53.36
7,860,1,Keyboard,Los Angeles,2025-03-01,7,43.5
27,417,1,Webcam,San Diego,2023-08-18,1,50.93
86,854,5,Keyboard,Los Angeles,2024-01-31,4,10.56
63,571,7,Keyboard,San Jose,2026-01-01,5,26.7
67,214,10,Laptop,Chicago,2025-12-19,3,38.15
59,835,3,Headphones,Philadelphia,2022-09-09,2,70.54921117578859
16,198,4,Headphones,Houston,2021-01-31,10,32.77
94,600,3,Webcam,Phoenix,2022-12-15,8,42.95
91,803,5,Mouse,New York,2024-02-24,9,52.59
18,890,2,Laptop,San Diego,2021-12-14,9,50.23
47,559,9,Webcam,San Jose,2024-05-09,5,67.82
86,638,3,Scanner,Philadelphia,2022-11-22,8,51.28
21,323,5,Keyboard,San Antonio,2021-05-25,2,61.36
11,930,8,Laptop,Phoenix,2021-05-01,4,59.41
90,689,1,Keyboard,San Diego,2023-04-12,2,41.12
49,712,5,Tablet,New York,2021-12-15,8,40.92
1,941,10,Smartphone,Phoenix,2022-10-30,5,45.46
33,107,3,Keyboard,Los Angeles,2024-05-19,4,47.3
63,677,3,Scanner,San Antonio,2021-10-15,7,56.9
1,674,6,Smartphone,Phoenix,2024-07-11,7,71.57
12,965,8,Keyboard,Dallas,2021-06-24,1,57.97
30,656,7,Tablet,Phoenix,2024-03-01,1,32.81
44,172,5,Headphones,Phoenix,2025-09-03,9,32.29
75,958,6,Laptop,San Antonio,2021-01-26,10,37.89
84,457,1,Mouse,San Jose,2022-11-18,3,61.26
83,151,8,Keyboard,San Antonio,2024-06-13,5,28.67
70,953,1,Mouse,San Diego,2022-03-01,5,54.34
74,951,4,Mouse,Houston,2022-05-22,9,25.76
54,961,9,Mouse,Los Angeles,2024-03-17,2,42.4
9,769,2,Headphones,Dallas,2021-01-21,9,22.37
48,232,8,Webcam,Dallas,2022-12-08,10,24.3
79,681,4,Keyboard,Philadelphia,2024-04-28,5,58.26
79,685,10,Webcam,Chicago,2021-04-15,8,73.47
44,910,2,Mouse,Phoenix,2023-03-28,1,54.98
58,728,7,Scanner,New York,2025-09-13,2,67.41
94,356,6,Headphones,Chicago,2023-06-01,4,38.96
8,947,9,Tablet,Philadelphia,2023-04-29,10,42.52
25,456,4,Mouse,Los Angeles,2024-05-31,7,14.34
55,199,8,Monitor,Dallas,2022-06-10,6,61.65
63,318,10,Tablet,Phoenix,2022-09-28,7,24.84
54,799,10,Webcam,Chicago,2023-10-07,2,71.81
34,138,7,Monitor,San Antonio,2023-07-16,4,67.28
88,722,6,Tablet,Chicago,2023-08-22,2,45.91
4,380,2,Tablet,San Antonio,2022-08-14,2,46.82
90,575,3,Laptop,San Antonio,2024-03-25,4,14.9
20,811,2,Mouse,Phoenix,2022-09-14,5,20.43
19,775,9,Headphones,Chicago,2022-09-18,2,16.98
40,646,7,Mouse,Houston,2022-09-09,4,35.91
25,385,9,Webcam,Los Angeles,2021-08-26,9,22.8
47,790,9,Printer,Houston,2024-10-31,10,72.32
78,265,1,Headphones,Chicago,2021-11-03,5,30.4
46,195,10,Tablet,New York,2025-02-12,10,25.72
5,350,8,Monitor,Philadelphia,2022-07-16,9,68.75
66,230,7,Monitor,San Diego,2022-04-04,1,63.7
71,671,10,Webcam,San Antonio,2023-11-20,5,57.75
35,131,8,Scanner,Philadelphia,2024-01-29,4,11.75
45,853,2,Headphones,Los Angeles,2023-07-26,9,72.43
25,245,4,Mouse,Dallas,2023-04-15,9,11.1
13,903,10,Printer,Philadelphia,2024-10-30,10,49.49
45,573,4,Tablet,Phoenix,2025-05-01,5,69.69
36,465,4,Headphones,San Antonio,2025-04-24,8,11.1
95,608,3,Webcam,Philadelphia,2021-06-03,2,15.66
59,482,7,Laptop,Chicago,2025-06-12,8,34.18
48,239,3,Printer,San Jose,2025-02-19,8,34.5
20,348,3,Mouse,Los Angeles,2024-07-04,8,21.62
20,706,10,Scanner,Dallas,2024-10-19,10,73.8
77,966,8,Headphones,San Diego,2023-03-30,3,17.97
72,942,4,Laptop,San Jose,2021-04-04,9,69.73
24,958,2,Keyboard,Los Angeles,2025-12-23,1,36.23
47,87,10,Headphones,Phoenix,2023-08-22,3,36.79
65,93,7,Scanner,Dallas,2022-10-07,7,35.12
62,499,3,Keyboard,San Diego,2021-05-19,10,49.7
88,523,2,Scanner,Los Angeles,2021-08-20,10,39.83
25,740,2,Scanner,Chicago,2025-03-10,4,49.9
47,900,2,Tablet,Dallas,2025-01-06,7,17.88
63,823,10,Webcam,Los Angeles,2022-02-25,8,61.61
27,248,5,Webcam,San Jose,2024-10-09,4,59.98
55,812,4,Laptop,Houston,2025-11-03,10,26.12
80,510,10,Keyboard,New York,2022-10-07,3,60.68
7,370,2,Scanner,San Antonio,2024-03-17,3,39.17
4,793,1,Printer,San Diego,2021-12-06,10,71.85
24,837,6,Laptop,San Diego,2025-12-01,3,54.7
9,223,4,Webcam,Philadelphia,2022-03-23,10,37.59
38,845,2,Laptop,Phoenix,2023-03-01,7,32.68
65,508,5,Monitor,Dallas,2021-11-14,5,48.8
18,775,10,Headphones,Houston,2025-06-15,5,27.56
7,745,4,Webcam,Chicago,2022-03-16,10,58.95
39,365,9,Scanner,Phoenix,2022-11-02,3,31.99
18,912,2,Keyboard,Houston,2022-02-25,2,51.61
49,153,4,Keyboard,Los Angeles,2025-12-11,6,60.25
12,613,3,Printer,Chicago,2024-04-26,2,43.32
15,643,2,Smartphone,Los Angeles,2025-05-24,10,70.96
8,55,9,Scanner,Philadelphia,2022-03-09,7,28.82
47,675,3,Keyboard,New York,2022-07-14,4,50.91
60,720,10,Tablet,New York,2023-06-06,8,33.94
11,519,3,Monitor,New York,2025-07-14,3,29.22
37,301,9,Tablet,Los Angeles,2022-02-03,7,35.7
51,150,3,Webcam,Dallas,2022-07-17,2,11.73
13,120,9,Laptop,Phoenix,2023-04-03,7,49.4
16,748,4,Scanner,Phoenix,2024-04-23,4,51.54
98,577,6,Smartphone,Los Angeles,2022-10-20,10,19.94
80,650,6,Tablet,San Jose,2024-04-18,5,29.63
73,204,1,Smartphone,San Antonio,2022-03-12,10,59.5
12,156,5,Smartphone,Chicago,2025-11-28,5,66.76
37,428,2,Printer,San Diego,2024-07-24,1,67.46
100,859,9,Scanner,San Antonio,2025-02-23,10,39.75
86,167,3,Laptop,Phoenix,2021-05-18,9,44.42
27,380,7,Laptop,San Jose,2025-05-01,7,62.85
20,77,1,Laptop,Dallas,2022-10-20,8,37.58
17,465,8,Webcam,Los Angeles,2024-10-13,5,36.97
15,805,9,Keyboard,Philadelphia,2021-12-24,2,41.7
28,707,2,Scanner,Los Angeles,2023-10-20,2,18.57
5,535,1,Webcam,San Antonio,2022-05-21,6,40.21
50,793,6,Tablet,New York,2025-02-15,8,69.62
49,413,1,Headphones,San Jose,2023-11-15,10,73.31
69,413,3,Keyboard,San Jose,2024-06-11,7,25.92
91,370,2,Printer,Houston,2022-03-17,6,19.86
55,400,6,Monitor,Chicago,2025-04-26,8,25.23
15,202,2,Printer,New York,2024-01-05,6,29.23
36,433,7,Mouse,Phoenix,2023-07-11,5,64.59
19,610,9,Headphones,San Diego,2021-06-25,2,38.55
29,796,3,Tablet,Houston,2024-03-12,3,42.49
79,826,10,Printer,Houston,2022-05-21,2,73.71
20,417,7,Scanner,Houston,2021-10-12,10,55.29
88,452,9,Monitor,Chicago,2021-05-11,3,37.27
38,629,9,Scanner,Phoenix,2023-07-20,4,53.52
70,628,4,Headphones,Chicago,2023-07-14,6,19.22
26,447,4,Keyboard,Phoenix,2021-04-20,3,55.55
62,535,8,Smartphone,New York,2023-01-19,1,46.13
82,144,3,Laptop,San Jose,2023-10-16,4,21.43
88,893,3,Mouse,San Jose,2022-01-04,9,53.43
50,134,10,Mouse,Phoenix,2023-05-20,9,35.69
39,187,3,Scanner,San Jose,2023-10-29,7,63.92
9,469,5,Monitor,New York,2025-05-11,3,70.5
0,534,1,Headphones,San Diego,2022-06-22,1,34.91
56,719,6,Tablet,San Jose,2023-10-31,8,55.18
60,789,9,Headphones,Los Angeles,2025-04-23,5,35.51
60,690,4,Printer,San Antonio,2023-04-17,8,59.67
64,820,7,Laptop,Houston,2024-04-18,4,28.17
51,286,5,Mouse,Houston,2024-07-22,4,26.79
56,362,2,Smartphone,Dallas,2024-03-21,3,32.51
45,718,7,Monitor,New York,2024-08-21,6,39.16
95,895,2,Tablet,San Diego,2022-11-15,5,21.48
66,612,4,Scanner,New York,2025-05-04,7,23.93
21,302,5,Headphones,San Antonio,2021-11-19,3,47.11
28,327,8,Scanner,Houston,2023-05-08,3,37.96
53,197,3,Tablet,Philadelphia,2022-08-29,8,45.87
79,546,4,Keyboard,Chicago,2023-06-07,1,74.74
11,440,4,Mouse,Houston,2023-10-31,4,59.8
59,231,5,Printer,Phoenix,2021-02-14,8,55.66
96,691,4,Keyboard,Chicago,2025-09-04,1,23.3
46,975,3,Printer,Phoenix,2022-11-07,1,52.13
89,704,10,Webcam,Chicago,2021-12-21,3,68.36
40,864,4,Webcam,Philadelphia,2025-09-29,9,17.6
44,270,9,Mouse,Philadelphia,2023-10-25,9,27.23
82,994,2,Laptop,Houston,2024-02-20,6,37.74
52,506,1,Smartphone,Philadelphia,2023-11-24,9,20.24
57,922,3,Tablet,New York,2023-10-09,4,44.31
73,465,3,Laptop,San Jose,2022-04-29,5,69.74
8,440,7,Printer,San Diego,2024-03-21,1,10.61
87,605,9,Tablet,Houston,2021-06-14,7,27.35
63,916,6,Headphones,San Jose,2021-03-23,10,25.54
60,992,1,Monitor,New York,2023-08-15,6,53.86
7,765,6,Tablet,New York,2025-03-27,7,11.56
77,728,4,Headphones,New York,2024-06-04,9,69.42
83,188,5,Laptop,New York,2025-09-15,2,69.91
67,637,1,Scanner,New York,2022-03-20,9,39.86
50,597,3,Tablet,Philadelphia,2024-12-28,8,18.69
66,713,5,Smartphone,Chicago,2021-12-10,9,32.73
22,613,5,Tablet,San Diego,2022-09-22,1,65.89
31,474,9,Printer,San Diego,2024-04-07,4,19.75
46,430,9,Headphones,San Jose,2022-02-09,6,70.18
35,890,4,Keyboard,Houston,2023-03-04,9,28.8
27,917,8,Keyboard,Phoenix,2024-12-01,2,54.53
21,726,5,Keyboard,Philadelphia,2021-09-15,5,60.28
67,369,3,Scanner,San Antonio,2022-06-16,9,49.81
46,870,5,Monitor,Houston,2022-04-09,2,49.27
79,559,5,Scanner,New York,2024-05-06,7,67.67
4,231,9,Laptop,San Jose,2021-07-23,6,57.89
91,924,5,Headphones,San Diego,2023-05-16,6,13.89
18,881,4,Smartphone,New York,2024-06-12,1,20.77
58,732,4,Mouse,Houston,2022-05-16,2,51.2
40,736,5,Webcam,San Antonio,2022-07-19,2,22.11
40,750,2,Printer,San Antonio,2024-03-17,10,58.91
20,918,10,Smartphone,San Antonio,2025-06-19,7,19.93
93,73,9,Webcam,New York,2021-10-27,6,17.64
65,395,5,Keyboard,Chicago,2021-07-23,7,39.58
18,349,5,Headphones,Phoenix,2025-01-08,5,66.77
51,187,3,Scanner,Philadelphia,2023-06-17,10,11.79
65,982,8,Keyboard,New York,2022-06-27,10,13.99
97,257,10,Scanner,Los Angeles,2023-06-24,3,40.8
27,701,5,Keyboard,Phoenix,2023-11-09,8,60.46
94,227,9,Scanner,Dallas,2024-06-17,1,40.26
30,650,9,Headphones,Philadelphia,2022-01-29,10,16.97
77,968,6,Mouse,Philadelphia,2024-11-27,8,21.6
74,724,2,Tablet,Philadelphia,2025-12-20,10,63.44
11,160,1,Laptop,Houston,2022-06-02,4,46.66
58,81,10,Webcam,Dallas,2025-04-29,5,66.23
64,75,6,Keyboard,Dallas,2021-01-13,2,73.77
21,808,5,Scanner,San Diego,2024-05-27,2,53.77
80,124,5,Tablet,San Antonio,2024-08-27,7,12.67
72,357,7,Tablet,Dallas,2025-11-29,5,65.79
38,908,5,Keyboard,Los Angeles,2024-04-05,6,24.78
88,628,9,Webcam,Los Angeles,2021-02-20,5,25.17
82,852,4,Smartphone,Dallas,2025-05-14,5,52.47
21,304,10,Keyboard,Philadelphia,2021-05-26,2,33.86
65,148,4,Scanner,New York,2025-10-02,10,13.46
97,729,9,Monitor,San Jose,2021-07-19,3,50.16
26,130,2,Mouse,Phoenix,2021-10-09,6,15.62
97,636,8,Webcam,San Jose,2022-11-06,10,43.4
12,731,4,Printer,San Diego,2022-01-01,3,62.53
99,767,3,Webcam,New York,2021-03-20,5,57.33
55,922,8,Tablet,San Antonio,2021-04-22,7,13.3
78,69,4,Monitor,San Jose,2022-03-05,10,17.58
100,730,3,Laptop,Chicago,2023-09-18,2,11.27
27,708,1,Smartphone,San Diego,2021-06-19,8,45.73
23,402,1,Tablet,Dallas,2021-12-18,3,37.15
15,141,7,Smartphone,San Diego,2023-08-17,10,46.63
24,914,5,Smartphone,Philadelphia,2025-09-01,3,19.6
56,899,10,Tablet,Los Angeles,2022-03-03,3,11.9
70,980,7,Monitor,New York,2023-02-13,9,54.62
59,913,1,Printer,Dallas,2024-01-12,6,74.54
77,248,4,Scanner,Los Angeles,2022-01-01,8,16.81
51,883,8,Webcam,New York,2024-11-08,4,15.9
9,947,9,Keyboard,San Jose,2024-08-12,2,56.7
51,931,8,Printer,San Antonio,2024-04-02,3,36.33
7,318,2,Scanner,Philadelphia,2024-06-04,6,43.22
36,857,5,Printer,New York,2025-12-30,4,61.46
60,171,7,Smartphone,Chicago,2025-05-05,2,32.27
29,379,5,Scanner,Los Angeles,2025-12-13,3,67.68
9,569,1,Smartphone,Dallas,2025-05-16,2,50.33
23,399,5,Webcam,Phoenix,2021-03-08,9,36.74
16,656,10,Scanner,Phoenix,2025-05-25,1,52.13
29,288,7,Scanner,Phoenix,2023-03-10,6,60.56
65,899,3,Headphones,San Diego,2024-09-02,8,56.98
83,421,6,Headphones,San Antonio,2025-10-09,9,45.8
94,383,9,Keyboard,Phoenix,2025-06-03,6,71.92
28,140,2,Laptop,Houston,2024-08-29,5,71.15
32,427,9,Printer,Phoenix,2022-12-28,5,58.8
53,248,1,Monitor,New York,2024-02-02,6,21.83
75,900,3,Mouse,San Diego,2023-05-10,6,57.69
37,149,2,Tablet,San Diego,2024-09-10,4,11.3
60,162,6,Keyboard,Philadelphia,2023-03-30,5,31.43
56,94,10,Smartphone,Phoenix,2025-07-25,8,20.5
75,750,4,Monitor,San Diego,2021-02-11,5,66.13
84,862,6,Smartphone,New York,2025-04-29,8,36.26
12,164,6,Monitor,Philadelphia,2025-08-23,9,22.11
85,846,8,Webcam,Los Angeles,2021-08-18,7,74.68
39,965,6,Headphones,Houston,2026-01-11,5,31.35
50,813,1,Laptop,San Antonio,2024-02-10,1,55.79
54,264,5,Keyboard,New York,2022-06-03,3,70.69
36,535,1,Webcam,Dallas,2021-10-09,7,34.41
61,378,4,Scanner,San Jose,2024-05-11,7,32.62
46,417,5,Printer,San Diego,2023-06-08,4,47.96
99,807,4,Tablet,Dallas,2022-03-19,6,14.45
70,842,2,Headphones,San Antonio,2024-11-05,8,65.66
18,874,4,Monitor,Philadelphia,2023-05-22,1,14.71
21,871,2,Printer,San Jose,2025-06-25,9,61.2
86,728,4,Smartphone,San Antonio,2025-04-20,3,26.14
53,506,9,Smartphone,Philadelphia,2025-07-23,6,74.56
26,875,8,Printer,New York,2025-10-14,10,35.79
26,889,5,Headphones,New York,2025-03-22,1,54.71
47,696,8,Webcam,Philadelphia,2024-05-24,5,54.78
6,245,1,Headphones,Phoenix,2021-02-27,5,60.81
2,747,9,Headphones,Chicago,2023-02-16,8,73.76
17,308,2,Keyboard,Philadelphia,2022-07-14,7,15.57
7,615,10,Webcam,San Antonio,2025-09-01,8,16.94
16,308,6,Laptop,Philadelphia,2025-09-26,4,70.67
65,990,4,Smartphone,Chicago,2022-09-25,8,51.7
82,305,1,Laptop,Dallas,2024-07-25,6,56.31
16,134,10,Laptop,Houston,2024-12-30,9,14.68
62,762,6,Printer,New York,2022-04-18,4,27.64
87,942,9,Tablet,San Antonio,2023-08-29,7,49.39
89,692,3,Keyboard,Phoenix,2021-06-13,8,53.23
56,80,4,Mouse,Dallas,2022-10-11,7,50.96
71,847,3,Webcam,Dallas,2021-09-30,4,61.56
26,482,8,Scanner,Dallas,2024-10-24,3,71.49
13,972,6,Monitor,Houston,2022-07-19,7,39.93
2,121,10,Webcam,San Diego,2023-09-11,10,58.22
83,625,2,Tablet,Philadelphia,2022-10-19,6,30.21
63,90,4,Scanner,Philadelphia,2022-09-20,3,56.5
44,296,1,Tablet,San Antonio,2024-10-29,8,42.39
75,113,8,Laptop,Phoenix,2025-07-10,10,67.32
59,699,4,Monitor,San Diego,2025-03-24,8,18.59
27,484,7,Laptop,Houston,2024-01-11,6,59.72
52,447,5,Monitor,San Antonio,2022-09-16,6,48.37
43,232,3,Smartphone,San Diego,2025-08-15,4,40.85
59,939,4,Monitor,Dallas,2025-11-22,8,56.85
98,282,4,Laptop,Phoenix,2025-06-08,4,44.51
42,330,1,Keyboard,New York,2023-10-10,7,11.94
48,432,3,Scanner,Houston,2023-01-27,6,70.85
9,375,6,Laptop,Phoenix,2023-11-13,4,46.42
68,291,1,Smartphone,Chicago,2025-07-21,5,42.63
70,426,3,Headphones,San Diego,2024-02-28,8,62.4
62,132,1,Printer,San Diego,2022-12-10,10,31.64
94,403,2,Monitor,Houston,2023-01-05,9,17.92
5,922,2,Keyboard,San Diego,2023-07-13,8,19.26
26,395,8,Printer,San Antonio,2022-02-16,5,25.11
68,775,7,Monitor,San Antonio,2024-10-10,6,59.69
65,141,5,Headphones,Philadelphia,2024-02-29,10,36.5
83,471,9,Scanner,Los Angeles,2023-12-13,2,59.0
35,92,5,Headphones,Phoenix,2023-12-27,2,14.37
41,578,5,Mouse,San Jose,2021-05-04,3,18.89
38,347,10,Scanner,New York,2021-11-08,6,66.85
2,980,2,Mouse,Chicago,2024-12-02,1,34.67
10,549,4,Laptop,Los Angeles,2022-03-24,6,43.35
75,371,9,Webcam,Houston,2024-12-20,7,31.66
14,724,4,Mouse,Los Angeles,2026-01-01,9,37.41
18,941,9,Mouse,Houston,2022-03-04,8,18.57
90,984,10,Mouse,San Diego,2024-06-24,7,22.37
20,816,10,Scanner,San Diego,2021-11-03,1,66.25
68,880,8,Keyboard,Dallas,2025-03-16,3,34.27
96,783,7,Monitor,San Antonio,2021-03-12,2,23.4
13,868,6,Keyboard,Dallas,2025-11-03,3,60.74
43,498,8,Mouse,Houston,2021-03-07,9,53.45
23,552,9,Webcam,Dallas,2023-07-07,1,40.62
24,487,4,Headphones,Houston,2021-05-28,2,56.72
87,362,1,Scanner,Los Angeles,2024-05-27,7,64.32
90,524,10,Headphones,Phoenix,2025-02-18,9,50.25
25,719,7,Webcam,San Jose,2025-11-21,6,40.2
37,483,9,Monitor,San Antonio,2021-04-25,2,31.54
